"","V1","V2"
"336",418472.376382102,5010830.37701709
"337",356808.206906593,4960057.02673713
"338",379298.122152847,4992466.01623364
"339",372262.475470194,5001557.21439635
"340",401353.318065571,5036326.36934108
"341",397597.891534112,5023655.81069471
"342",333353.866756913,4993464.14998195
"343",409515.649005765,5034440.74064919
"344",344574.653136955,4977666.10295729
"345",409172.226410065,5033161.70438018
"346",404720.158222032,5009445.34384765
"347",391523.423504515,5012180.86252733
"348",391092.552425366,5026787.0861746
"349",359812.102384393,4999431.98262944
"350",395337.161759291,5009346.90393274
"351",377477.714015365,4986741.69584849
"352",360696.054100301,4972133.48155683
"353",383939.922876943,4999400.12541819
"354",405927.150012758,5019350.4664722
"355",356258.097931413,4995146.94177549
"356",406483.428518433,5016790.19424347
"357",406796.989699967,5027729.00225975
"358",392862.378166307,5006587.51994467
"359",402864.107880268,4995199.66971593
"360",365009.131727383,4976450.58152973
"361",395386.980025353,5022339.48439113
"362",410056.159166828,5000462.11027385
"363",417019.398132531,5001241.62773071
"364",365954.931427212,4968789.15283091
"365",370876.032919304,4995001.76125554
"366",363519.915897651,4994797.1809296
"367",403954.148068746,4977490.08137868
"368",336287.745080291,4973656.52969856
"369",332175.321056435,4987163.23748543
"370",380551.03023534,4972191.91587665
"371",409624.093501966,5026079.30963503
"372",411587.947043812,4994571.75564141
"373",333000.469495803,4980703.53309955
"374",421184.503233494,5028599.74736205
"375",403593.719220793,4999880.91467056
"376",410753.055337799,5046622.73629395
"377",385109.979557106,5029409.69807548
"378",403560.104908318,5030055.87571618
"379",414131.100913801,5026140.31034819
"380",348673.216143341,4999740.16282676
"381",406758.058219738,5043795.30229867
"382",395923.450039855,4991757.13835705
"383",419829.270362141,5007714.87992257
"384",403156.605567538,5027905.43609192
"385",357390.942093082,4965027.63851185
"386",374378.203994687,4987424.72919766
"387",398115.332292424,5042395.56899436
"388",376004.017768974,5013259.01856965
"389",401016.814838687,4980977.91768441
"390",343114.263609897,4990346.73721485
"391",356391.393167597,5009886.19716313
"392",365761.774166958,4994970.71476583
"393",377928.081849675,5001242.39031275
"394",368830.268322372,4992823.36421298
"395",380879.638722755,5009179.7644192
"396",395067.421011365,5024737.32030739
"397",386183.035032859,5045490.30917752
"398",380103.4985934,5006215.18423525
"399",393209.171001008,5014691.3202032
"400",341916.334286541,5004086.28255133
"401",391430.852379936,4999512.12728818
"402",420298.63852561,5005428.826775
"403",429748.466816662,5000935.55702271
"404",417312.53596155,5026077.91001422
"405",407210.828613157,5025521.7042434
"406",402062.44882238,5031255.41071377
"407",381174.339428709,4965992.26388437
"408",380169.908523611,4961354.56848807
"409",385999.30299347,5010271.60814171
"410",379808.554581232,4989034.38886515
"411",372471.72353426,4996978.84715629
"412",419668.698744456,5015876.69877242
"413",359376.1936341,4994886.30436032
"414",352455.116092797,4961201.67913073
"415",362653.441675912,4975468.70368884
"416",400566.786836377,4974477.28449512
"417",391848.185438733,4978907.01148763
"418",387483.111408897,4968627.13303851
"419",416903.38191884,5021548.688382
"420",403368.162848592,5032044.65188976
"421",372268.436727743,5009264.23365793
"422",404466.125151921,5005289.74536503
"423",382397.823544092,4979566.35989802
"427",415905.652292986,5077195.9672593
"428",451580.676992271,5030375.98774582
"429",428395.374111716,5024389.19517099
"430",451179.47746238,5037727.6124977
"431",453789.890604519,5012535.5038889
"432",433324.809548241,5074510.68977894
"433",444108.592367335,5034442.89553837
"434",432751.166630977,5016613.9470075
"435",428642.800016243,5075787.86243191
